Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0500000US21163,21163,"Meade County, Kentucky",28602,28613,28714,29643,29262,29247,29097,27740,27985,28094,28715
0500000US21165,21165,"Menifee County, Kentucky",6306,6304,6366,6413,6333,6336,6298,6367,6444,6466,6451
0500000US21167,21167,"Mercer County, Kentucky",21331,21317,21313,21281,21335,21304,21374,21402,21440,21588,21774
0500000US21169,21169,"Metcalfe County, Kentucky",10099,10106,10137,10060,9974,9951,9989,9914,10007,10079,10030
0500000US21171,21171,"Monroe County, Kentucky",10963,10963,10970,10920,10853,10722,10680,10621,10539,10611,10718
0500000US21173,21173,"Montgomery County, Kentucky",26499,26509,26551,26758,26871,27239,27372,27586,27678,27956,28203
0500000US21175,21175,"Morgan County, Kentucky",13923,13924,13729,13722,13536,13371,13350,13268,13251,13211,13345
0500000US21177,21177,"Muhlenberg County, Kentucky",31499,31499,31658,31530,31390,31330,31308,31249,31151,30923,30774
0500000US21179,21179,"Nelson County, Kentucky",43437,43443,43631,44066,44414,44552,44866,45115,45495,45612,45851
0500000US21181,21181,"Nicholas County, Kentucky",7135,7129,7128,7088,7010,7009,7051,7061,7083,7137,7166
0500000US21183,21183,"Ohio County, Kentucky",23842,23854,23834,23986,24026,23984,23957,24025,24150,24136,24087
0500000US21185,21185,"Oldham County, Kentucky",60316,60354,60435,60771,62114,63067,63976,64546,65389,66489,66470
0500000US21187,21187,"Owen County, Kentucky",10841,10837,10850,10820,10754,10638,10650,10728,10659,10789,10880
0500000US21189,21189,"Owsley County, Kentucky",4755,4755,4748,4808,4684,4603,4505,4447,4473,4416,4472
0500000US21191,21191,"Pendleton County, Kentucky",14877,14875,14916,14657,14541,14556,14469,14472,14571,14558,14529
0500000US21193,21193,"Perry County, Kentucky",28712,28690,28661,28691,28295,27981,27552,27339,27123,26479,26092
0500000US21195,21195,"Pike County, Kentucky",65024,65029,65075,64913,64590,63862,62944,61785,60422,58862,58402
0500000US21197,21197,"Powell County, Kentucky",12613,12613,12644,12621,12479,12478,12356,12228,12257,12321,12442
0500000US21199,21199,"Pulaski County, Kentucky",63063,63061,63190,63510,63523,63793,63862,63858,64025,64357,64623
0500000US21201,21201,"Robertson County, Kentucky",2282,2282,2275,2290,2216,2216,2187,2135,2125,2132,2135
0500000US21203,21203,"Rockcastle County, Kentucky",17056,17056,17081,17110,17064,16748,16827,16933,16869,16757,16750
0500000US21205,21205,"Rowan County, Kentucky",23333,23336,23374,23562,23806,24221,24259,24655,24438,24562,24583
0500000US21207,21207,"Russell County, Kentucky",17565,17565,17574,17701,17641,17753,17789,17685,17767,17739,17821
